"","FID","OBJECTID","AmbulanceR","BikeAge_Gr","Bike_Age","Bike_Alc_D","Bike_Dir","Bike_Injur","Bike_Pos","Bike_Race","Bike_Sex","City","County","CrashAlcoh","CrashDay","Crash_Date","Crash_Grp","Crash_Hour","Crash_Loc","Crash_Mont","Crash_Time","Crash_Type","Crash_Ty_1","Crash_Year","Crsh_Sevri","Developmen","DrvrAge_Gr","Drvr_Age","Drvr_Alc_D","Drvr_EstSp","Drvr_Injur","Drvr_Race","Drvr_Sex","Drvr_VehTy","ExcsSpdInd","Hit_Run","Light_Cond","Locality","Num_Lanes","Num_Units","Rd_Charact","Rd_Class","Rd_Conditi","Rd_Config","Rd_Defects","Rd_Feature","Rd_Surface","Region","Rural_Urba","Speed_Limi","Traff_Cntr","Weather","Workzone_I","Location","locx","locy"
"3128",478,479,"Yes","50-59",52,"No","With Traffic","A: Disabling Injury","Travel Lane","White","Male","None - Rural Crash","Richmond","No","01-01-03","2009-09-02","Motorist Overtaking Bicyclist",20,"Non-Intersection","01-09-01","0001-01-01T15:18:58-04:56","Motorist Overtaking - Other /",311239,2009,"A: Disabling Injury","Farms, Woods, Pastures","",NA,"No","51-55 mph","Injury","/Missing","","Pickup","No","Yes","Dark - Roadway Not Lighted","Rural (<30% Developed)","2 lanes",2,"Straight - Grade","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Rural","50 - 55  MPH","No Control Present","Clear","No","34.846863, -79.69628",-79.69628,34.846863
"3129",481,482,"No","16-19",17,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","None - Rural Crash","Person","No","01-01-03","2009-08-05","Motorist Overtaking Bicyclist",19,"Non-Intersection","01-08-01","0001-01-01T14:49:58-04:56","Motorist Overtaking - Bicyclist Swerved",311235,2009,"C: Possible Injury","Farms, Woods, Pastures","30-39",32,"No","51-55 mph","O: No Injury","Black","Male","Van","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Cloudy","No","36.434635, -79.05561",-79.05561,36.434635
"3130",175,176,"No","10-Jun",6,"No","Facing Traffic","B: Evident Injury","Travel Lane","White","Male","Statesville","Iredell","No","01-01-06","2010-04-17","Motorist Failed to Yield - Sign-Controlled Intersection",14,"Intersection","01-04-01","0001-01-01T09:18:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",0,2010,"B: Evident Injury","Residential","25-29",27,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Curve - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.796837, -80.88267",-80.88267,35.796837
"3131",190,191,"Yes","50-59",56,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","None - Rural Crash","Hertford","No","01-01-07","2010-04-25","Bicyclist Left Turn / Merge",18,"Non-Intersection","01-04-01","0001-01-01T13:08:58-04:56","Bicyclist Left Turn - Same Direction",0,2010,"B: Evident Injury","Farms, Woods, Pastures","25-29",26,"No","36-40 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Rural","50 - 55  MPH","No Control Present","Clear","No","36.443092, -77.12053",-77.12053,36.443092
"3132",204,205,"Yes","15-Nov",13,"No","Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female","Fayetteville","Cumberland","No","01-01-04","2010-05-06","Motorist Failed to Yield - Sign-Controlled Intersection",16,"Intersection","01-05-01","0001-01-01T11:07:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",0,2010,"B: Evident Injury","Residential","50-59",59,"No","0-5 mph","O: No Injury","Black","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.02864, -78.94467",-78.94467,35.02864
"3133",208,209,"Yes","10-Jun",9,"No","Not Applicable","B: Evident Injury","Travel Lane","Black","Male","Kinston","Lenoir","No","01-01-05","2010-05-07","Bicyclist Failed to Yield - Midblock",17,"Non-Intersection","01-05-01","0001-01-01T13:01:58-04:56","Bicyclist Ride Out - Other Midblock",0,2010,"B: Evident Injury","Residential","70+",NA,"No","31-35 mph","O: No Injury","White","Female","Van","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","35.264606, -77.572395",-77.572395,35.264606
"3134",234,235,"Yes","20-24",20,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Davidson","Mecklenburg","No","01-01-04","2010-05-06","Motorist Overtaking Bicyclist",13,"Non-Intersection","01-05-01","0001-01-01T09:00:58-04:56","Motorist Overtaking - Bicyclist Swerved",0,2010,"C: Possible Injury","Residential","30-39",39,"No","21-25 mph","O: No Injury","White","Female","Light Truck (Mini-Van, Panel)","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Curve - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.504475, -80.85331",-80.85331,35.504475
"3135",249,250,"Yes","10-Jun",9,"No","Not Applicable","B: Evident Injury","Driveway / Alley","White","Male","Asheville","Buncombe","No","","2010-05-03","Bicyclist Failed to Yield - Midblock",16,"Non-Intersection","01-05-01","0001-01-01T11:35:58-04:56","Bicyclist Ride Out - Residential Driveway",0,2010,"B: Evident Injury","Residential","40-49",45,"No","16-20 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Mountains","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.474148, -82.51645",-82.51645,35.474148
"3136",250,251,"No","40-49",40,"No","Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Greensboro","Guilford","No","01-01-05","2010-05-07","Motorist Failed to Yield - Midblock",22,"Non-Intersection","01-05-01","0001-01-01T17:16:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",0,2010,"B: Evident Injury","Commercial","25-29",25,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","",2,"Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","Driveway, Public","Smooth Asphalt","Piedmont","Urban","5 - 15 MPH","No Control Present","Clear","No","36.039913, -79.84802",-79.84802,36.039913
"3137",255,256,"Yes","10-Jun",6,"No","Facing Traffic","A: Disabling Injury","Travel Lane","Black","Male","Asheville","Buncombe","No","01-01-06","2010-05-01","Loss of Control / Turning Error",13,"Intersection","01-05-01","0001-01-01T08:50:58-04:56","Bicyclist Lost Control - Mechanical Problems",0,2010,"A: Disabling Injury","Residential","20-24",23,"No","11-15 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Mountains","Urban","20 - 25  MPH","Other","Clear","No","35.577477, -82.55465",-82.55465,35.577477
"3138",257,258,"Yes","40-49",46,"Yes","With Traffic","B: Evident Injury","Travel Lane","Black","Female","Charlotte","Mecklenburg","Yes","","2010-04-26","Loss of Control / Turning Error",12,"Non-Intersection","01-04-01","0001-01-01T07:48:58-04:56","Bicyclist Lost Control - Other /",0,2010,"B: Evident Injury","Residential","40-49",48,"No","21-25 mph","O: No Injury","Black","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Divided, Positive Median Barrier","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","35.28069, -80.857376",-80.857376,35.28069
"3139",258,259,"No","50-59",50,"No","","C: Possible Injury","Travel Lane","White","Male","Charlotte","Mecklenburg","No","01-01-06","2010-05-01","Other /  - Insufficient Details",16,"Non-Intersection","01-05-01","0001-01-01T11:35:58-04:56","Approach Paths",0,2010,"C: Possible Injury","Residential","30-39",39,"No","0-5 mph","O: No Injury","Asian","Male","Sport Utility","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.13449, -80.84012",-80.84012,35.13449
"3140",259,260,"Yes","50-59",54,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Wilson","Wilson","No","01-01-06","2010-05-01","Bicyclist Left Turn / Merge",16,"Non-Intersection","01-05-01","0001-01-01T11:45:58-04:56","Bicyclist Left Turn - Same Direction",0,2010,"C: Possible Injury","Commercial","60-69",66,"No","21-25 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","35.697323, -77.89301",-77.89301,35.697323
"3141",262,263,"Yes","15-Nov",13,"No","Not Applicable","C: Possible Injury","Non-Roadway","Black","Male","None - Rural Crash","Hertford","No","01-01-06","2010-05-15","Bicyclist Failed to Yield - Midblock",15,"Non-Intersection","01-05-01","0001-01-01T10:03:58-04:56","Bicyclist Ride Out - Commercial Driveway / Alley",0,2010,"C: Possible Injury","Commercial","40-49",45,"No","21-25 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Rural (<30% Developed)","3 lanes",2,"Straight - Level","US Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt","Coastal","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No","36.44174, -77.11827",-77.11827,36.44174
"3142",268,269,"No","30-39",30,"No","With Traffic","O: No Injury","Travel Lane","Hispanic","Male","Cary","Wake","No","01-01-02","2010-05-25","Motorist Failed to Yield - Sign-Controlled Intersection",18,"Intersection","01-05-01","0001-01-01T13:36:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",0,2010,"O: No Injury","Commercial","30-39",39,"No","0-5 mph","O: No Injury","Black","Male","Sport Utility","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","Stop Sign","Clear","No","35.73193, -78.78992",-78.78992,35.73193
"3143",272,273,"Yes","30-39",34,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","Greensboro","Guilford","No","01-01-04","2010-05-13","Motorist Overtaking Bicyclist",20,"Non-Intersection","01-05-01","0001-01-01T15:43:58-04:56","Motorist Overtaking - Other /",0,2010,"B: Evident Injury","Residential","",NA,"Missing","31-35 mph","Injury","/Missing","","Passenger Car","No","Yes","Dark - Roadway Not Lighted","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Clear","No","36.06679, -79.75159",-79.75159,36.06679
"3144",289,290,"Yes","16-19",19,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Southern Pines","Moore","No","01-01-03","2010-05-19","Motorist Overtaking Bicyclist",20,"Non-Intersection","01-05-01","0001-01-01T15:24:58-04:56","Motorist Overtaking - Undetected Bicyclist",0,2010,"B: Evident Injury","Residential","30-39",31,"No","41-45 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.196346, -79.40039",-79.40039,35.196346
"3145",299,300,"Yes","25-29",26,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","Charlotte","Mecklenburg","No","01-01-04","2010-05-20","Motorist Left Turn / Merge",21,"Intersection","01-05-01","0001-01-01T16:03:58-04:56","Motorist Left Turn - Opposite Direction",0,2010,"B: Evident Injury","Residential","",NA,"Missing","11-15 mph","Injury","/Missing","","","No","Yes","Dark - Lighted Roadway","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","35.228058, -80.77526",-80.77526,35.228058
"3146",301,302,"No","15-Nov",12,"No","Not Applicable","C: Possible Injury","Driveway / Alley","White","Female","Raleigh","Wake","No","01-01-02","2010-05-04","Bicyclist Failed to Yield - Midblock",19,"Non-Intersection","01-05-01","0001-01-01T14:20:58-04:56","Bicyclist Ride Out - Commercial Driveway / Alley",0,2010,"C: Possible Injury","Residential","30-39",31,"No","16-20 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","35.79392, -78.64559",-78.64559,35.79392
"3147",302,303,"No","20-24",22,"No","With Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Female","Raleigh","Wake","No","01-01-03","2010-05-05","Bicyclist Left Turn / Merge",17,"Non-Intersection","01-05-01","0001-01-01T12:55:58-04:56","Bicyclist Left Turn - Same Direction",0,2010,"B: Evident Injury","Residential","50-59",51,"No","31-35 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.786533, -78.73064",-78.73064,35.786533
"3148",304,305,"Yes","25-29",27,"No","With Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Durham","Durham","No","01-01-02","2010-06-08","Motorist Left Turn / Merge",9,"Intersection","01-06-01","0001-01-01T04:57:58-04:56","Motorist Left Turn - Opposite Direction",0,2010,"B: Evident Injury","Commercial","50-59",58,"No","6-10 mph","O: No Injury","Black","Female","Sport Utility","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","36.010593, -78.926865",-78.926865,36.010593
"3149",311,312,"No","50-59",53,"No","","C: Possible Injury","Travel Lane","Black","Female","Elizabeth City","Pasquotank","No","01-01-04","2010-05-20","Crossing Paths - Other Circumstances",11,"Non-Intersection","01-05-01","0001-01-01T06:23:58-04:56","Crossing Paths - Midblock - Other /",0,2010,"C: Possible Injury","Commercial","40-49",45,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Driveway, Private","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","36.294598, -76.24048",-76.24048,36.294598
"3150",313,314,"Yes","50-59",54,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Wilmington","New Hanover","No","01-01-04","2010-05-20","Motorist Right Turn / Merge",18,"Intersection","01-05-01","0001-01-01T13:07:58-04:56","Motorist Right Turn - Same Direction",0,2010,"C: Possible Injury","Commercial","50-59",50,"No","21-25 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","6 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Coarse Asphalt","Coastal","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No","34.20969, -77.88114",-77.88114,34.20969
"3151",317,318,"Yes","16-19",16,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","None - Rural Crash","Iredell","No","01-01-06","2010-06-12","Bicyclist Left Turn / Merge",11,"Intersection","01-06-01","0001-01-01T06:20:58-04:56","Bicyclist Left Turn - Same Direction",0,2010,"C: Possible Injury","Residential","20-24",22,"No","31-35 mph","O: No Injury","Black","Female","Sport Utility","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Grade","US Route","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Piedmont","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.732246, -80.89734",-80.89734,35.732246
"3152",327,328,"No","20-24",20,"No","With Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Male","Boone","Watauga","No","01-01-02","2010-06-15","Motorist Right Turn / Merge",10,"Non-Intersection","01-06-01","0001-01-01T05:16:58-04:56","Motorist Right Turn - Same Direction",0,2010,"B: Evident Injury","Institutional","20-24",20,"No","31-35 mph","O: No Injury","White","Female","Sport Utility","No","No","Daylight","Urban (>70% Developed)","6 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Mountains","Urban","20 - 25  MPH","No Control Present","Clear","No","36.212444, -81.68078",-81.68078,36.212444
"3153",337,338,"Yes","40-49",47,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Asheville","Buncombe","No","01-01-05","2010-05-28","Motorist Right Turn / Merge",12,"Intersection","01-05-01","0001-01-01T08:01:58-04:56","Motorist Right Turn - Same Direction",0,2010,"B: Evident Injury","Commercial","25-29",26,"No","6-10 mph","O: No Injury","White","Female","Pickup","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Mountains","Urban","20 - 25  MPH","Other","Clear","No","35.5934, -82.560074",-82.560074,35.5934
"3154",345,346,"Yes","70+",NA,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Onslow","No","01-01-06","2010-06-19","Bicyclist Overtaking Motorist",10,"Non-Intersection","01-06-01","0001-01-01T05:05:58-04:56","Bicyclist Overtaking - Other /",0,2010,"B: Evident Injury","Residential","50-59",57,"No","16-20 mph","O: No Injury","White","Male","Pickup","No","Yes","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Rural","50 - 55  MPH","No Control Present","Clear","No","34.80998, -77.23525",-77.23525,34.80998
"3155",347,348,"Yes","20-24",21,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Asheboro","Randolph","No","01-01-02","2010-06-01","Bicyclist Failed to Yield - Signalized Intersection",15,"Intersection","01-06-01","0001-01-01T10:25:58-04:56","Bicyclist Ride Through - Signalized Intersection",0,2010,"C: Possible Injury","Commercial","50-59",58,"No","11-15 mph","O: No Injury","White","Female","Light Truck (Mini-Van, Panel)","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Grade","US Route","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No","35.691265, -79.80189",-79.80189,35.691265
"3156",353,354,"No","20-24",23,"No","Not Applicable","C: Possible Injury","Non-Roadway","White","Male","Wilmington","New Hanover","No","01-01-07","2010-05-30","Parallel Paths - Other Circumstances",0,"Non-Intersection","01-05-01","0000-12-31T19:12:58-04:56","Parallel Paths - Other /",0,2010,"C: Possible Injury","Residential","",NA,"Missing","","Injury","/Missing","","","No","Yes","Dark - Roadway Not Lighted","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","34.226807, -77.88625",-77.88625,34.226807
"3157",370,371,"Yes","16-19",18,"No","With Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","Black","Male","Durham","Durham","No","01-01-03","2010-06-23","Crossing Paths - Other Circumstances",17,"Intersection","01-06-01","0001-01-01T12:40:58-04:56","Crossing Paths - Intersection - Other /",0,2010,"C: Possible Injury","Residential","25-29",25,"No","11-15 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Wet","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Cloudy","No","36.012184, -78.90566",-78.90566,36.012184
"3158",372,373,"Yes","70+",NA,"No","With Traffic","O: No Injury","Travel Lane","White","Male","None - Rural Crash","Buncombe","No","01-01-06","2010-06-26","Motorist Overtaking Bicyclist",12,"Non-Intersection","01-06-01","0001-01-01T07:14:58-04:56","Motorist Overtaking - Other /",0,2010,"O: No Injury","Farms, Woods, Pastures","40-49",43,"No","16-20 mph","Injury","White","Male","Passenger Car","No","Yes","Daylight","Rural (<30% Developed)","2 lanes",2,"Curve - Grade","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Mountains","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.758488, -82.56606",-82.56606,35.758488
"3159",374,375,"Yes","50-59",52,"No","With Traffic","O: No Injury","Bike Lane / Paved Shoulder","White","Male","None - Rural Crash","Robeson","No","01-01-07","2010-06-06","Parallel Paths - Other Circumstances",14,"Non-Intersection","01-06-01","0001-01-01T09:54:58-04:56","Parallel Paths - Other /",0,2010,"C: Possible Injury","Farms, Woods, Pastures","0-19",16,"No","51-55 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Rural (<30% Developed)","2 lanes",3,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Rural","50 - 55  MPH","No Control Present","Clear","No","34.884247, -79.07946",-79.07946,34.884247
"3160",377,378,"Yes","20-24",23,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Norwood","Stanly","No","01-01-02","2010-06-08","Bicyclist Right Turn / Merge",12,"Non-Intersection","01-06-01","0001-01-01T07:03:58-04:56","Bicyclist Right Turn - Same Direction",0,2010,"B: Evident Injury","Commercial","60-69",66,"No","26-30 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Rural","40 - 45  MPH","No Control Present","Clear","No","35.245155, -80.12565",-80.12565,35.245155
"3161",382,383,"Yes","20-24",24,"No","With Traffic","C: Possible Injury","Travel Lane","White","Female","Durham","Durham","No","01-01-02","2010-06-29","Crossing Paths - Other Circumstances",21,"Intersection","01-06-01","0001-01-01T16:52:58-04:56","Sign-Controlled Intersection - Other /",0,2010,"C: Possible Injury","Commercial","30-39",35,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","Stop Sign","Clear","No","36.009945, -78.920876",-78.920876,36.009945
"3162",386,387,"Yes","10-Jun",7,"No","With Traffic","O: No Injury","Travel Lane","Black","Female","Hickory","Catawba","No","01-01-04","2010-06-10","Bicyclist Failed to Yield - Sign-Controlled Intersection",20,"Intersection","01-06-01","0001-01-01T15:53:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",0,2010,"O: No Injury","Residential","20-24",24,"No","26-30 mph","O: No Injury","White","Male","Passenger Car","No","No","Dusk","Urban (>70% Developed)","2 lanes",2,"Curve - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","T-Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.726254, -81.35355",-81.35355,35.726254
"3163",391,392,"No","15-Nov",14,"No","With Traffic","O: No Injury","Travel Lane","Black","Male","Hickory","Catawba","No","01-01-07","2010-06-20","Bicyclist Overtaking Motorist",19,"Non-Intersection","01-06-01","0001-01-01T14:30:58-04:56","Bicyclist Overtaking - Other /",0,2010,"O: No Injury","Residential","60-69",64,"No","","O: No Injury","White","Male","Van","No","No","Dusk","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Bottom","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Clear","No","35.72821, -81.337776",-81.337776,35.72821
"3164",397,398,"Yes","15-Nov",13,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Harnett","No","01-01-05","2010-07-02","Bicyclist Left Turn / Merge",10,"Non-Intersection","01-07-01","0001-01-01T05:26:58-04:56","Bicyclist Left Turn - Same Direction",0,2010,"B: Evident Injury","Residential","40-49",48,"No","36-40 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","T-Intersection","Coarse Asphalt","Coastal","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.312313, -79.04311",-79.04311,35.312313
"3165",412,413,"Yes","40-49",41,"No","With Traffic","A: Disabling Injury","Travel Lane","White","Male","Winston-Salem","Forsyth","No","01-01-07","2010-06-20","Motorist Left Turn / Merge",19,"Intersection","01-06-01","0001-01-01T14:22:58-04:56","Motorist Left Turn - Opposite Direction",0,2010,"A: Disabling Injury","Commercial","40-49",41,"No","6-10 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","36.09353, -80.37629",-80.37629,36.09353
"3166",417,418,"No","15-Nov",11,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","Black","Male","Greensboro","Guilford","No","01-01-03","2010-06-30","Motorist Failed to Yield - Midblock",19,"Non-Intersection","01-06-01","0001-01-01T14:11:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",0,2010,"C: Possible Injury","Commercial","40-49",40,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","1 lane",2,"Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Clear","No","36.048954, -79.835236",-79.835236,36.048954
"3167",423,424,"No","30-39",32,"No","Facing Traffic","O: No Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Hickory","Catawba","No","01-01-05","2010-07-02","Motorist Failed to Yield - Midblock",13,"Non-Intersection","01-07-01","0001-01-01T08:46:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",0,2010,"O: No Injury","Commercial","40-49",49,"No","0-5 mph","O: No Injury","White","Female","Sport Utility","No","No","Daylight","Urban (>70% Developed)","1 lane",2,"Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","","No Control Present","Clear","No","35.720085, -81.316124",-81.316124,35.720085
